{} STI
{(1,1)} ST
{(1,0)} TIA
{(1,0)(1,1)} TA
{(0,1)} TIA
{(0,1)(1,1)} TA
{(0,1)(1,0)} SI
{(0,1)(1,0)(1,1)} S
{(0,0)} ST
{(0,0)(1,1)} RST
{(0,0)(1,0)} TA
{(0,0)(1,0)(1,1)} RTA
{(0,0)(0,1)} TA
{(0,0)(0,1)(1,1)} RTA
{(0,0)(0,1)(1,0)} S
{(0,0)(0,1)(1,0)(1,1)} RST
{(2,1)} TIA
{(1,1)(2,1)} TA
{(1,0)(2,1)} TIA
{(1,0)(1,1)(2,1)} TA
{(0,1)(2,1)} TIA
{(0,1)(1,1)(2,1)} TA
{(0,1)(1,0)(2,1)} IA
{(0,1)(1,0)(1,1)(2,1)} A
{(0,0)(2,1)} TA
{(0,0)(1,1)(2,1)} TA
{(0,0)(1,0)(2,1)} TA
{(0,0)(1,0)(1,1)(2,1)} TA
{(0,0)(0,1)(2,1)} TA
{(0,0)(0,1)(1,1)(2,1)} TA
{(0,0)(0,1)(1,0)(2,1)} A
{(0,0)(0,1)(1,0)(1,1)(2,1)} A
{(1,2)} TIA
{(1,1)(1,2)} TA
{(1,0)(1,2)} TIA
{(1,0)(1,1)(1,2)} TA
{(0,1)(1,2)} TIA
{(0,1)(1,1)(1,2)} TA
{(0,1)(1,0)(1,2)} IA
{(0,1)(1,0)(1,1)(1,2)} A
{(0,0)(1,2)} TA
{(0,0)(1,1)(1,2)} TA
{(0,0)(1,0)(1,2)} TA
{(0,0)(1,0)(1,1)(1,2)} TA
{(0,0)(0,1)(1,2)} TA
{(0,0)(0,1)(1,1)(1,2)} TA
{(0,0)(0,1)(1,0)(1,2)} A
{(0,0)(0,1)(1,0)(1,1)(1,2)} A
{(1,2)(2,1)} SI
{(1,1)(1,2)(2,1)} S
{(1,0)(1,2)(2,1)} IA
{(1,0)(1,1)(1,2)(2,1)} A
{(0,1)(1,2)(2,1)} IA
{(0,1)(1,1)(1,2)(2,1)} A
{(0,1)(1,0)(1,2)(2,1)} SI
{(0,1)(1,0)(1,1)(1,2)(2,1)} S
{(0,0)(1,2)(2,1)} S
{(0,0)(1,1)(1,2)(2,1)} S
{(0,0)(1,0)(1,2)(2,1)} A
{(0,0)(1,0)(1,1)(1,2)(2,1)} A
{(0,0)(0,1)(1,2)(2,1)} A
{(0,0)(0,1)(1,1)(1,2)(2,1)} A
{(0,0)(0,1)(1,0)(1,2)(2,1)} S
{(0,0)(0,1)(1,0)(1,1)(1,2)(2,1)} S
{(2,2)} ST
{(1,1)(2,2)} ST
{(1,0)(2,2)} TA
{(1,0)(1,1)(2,2)} TA
{(0,1)(2,2)} TA
{(0,1)(1,1)(2,2)} TA
{(0,1)(1,0)(2,2)} S
{(0,1)(1,0)(1,1)(2,2)} S
{(0,0)(2,2)} ST
{(0,0)(1,1)(2,2)} RST
{(0,0)(1,0)(2,2)} TA
{(0,0)(1,0)(1,1)(2,2)} RTA
{(0,0)(0,1)(2,2)} TA
{(0,0)(0,1)(1,1)(2,2)} RTA
{(0,0)(0,1)(1,0)(2,2)} S
{(0,0)(0,1)(1,0)(1,1)(2,2)} RST
{(2,1)(2,2)} TA
{(1,1)(2,1)(2,2)} TA
{(1,0)(2,1)(2,2)} TA
{(1,0)(1,1)(2,1)(2,2)} TA
{(0,1)(2,1)(2,2)} TA
{(0,1)(1,1)(2,1)(2,2)} TA
{(0,1)(1,0)(2,1)(2,2)} A
{(0,1)(1,0)(1,1)(2,1)(2,2)} A
{(0,0)(2,1)(2,2)} TA
{(0,0)(1,1)(2,1)(2,2)} RTA
{(0,0)(1,0)(2,1)(2,2)} TA
{(0,0)(1,0)(1,1)(2,1)(2,2)} RTA
{(0,0)(0,1)(2,1)(2,2)} TA
{(0,0)(0,1)(1,1)(2,1)(2,2)} RTA
{(0,0)(0,1)(1,0)(2,1)(2,2)} A
{(0,0)(0,1)(1,0)(1,1)(2,1)(2,2)} RTA
{(1,2)(2,2)} TA
{(1,1)(1,2)(2,2)} TA
{(1,0)(1,2)(2,2)} TA
{(1,0)(1,1)(1,2)(2,2)} TA
{(0,1)(1,2)(2,2)} TA
{(0,1)(1,1)(1,2)(2,2)} TA
{(0,1)(1,0)(1,2)(2,2)} A
{(0,1)(1,0)(1,1)(1,2)(2,2)} A
{(0,0)(1,2)(2,2)} TA
{(0,0)(1,1)(1,2)(2,2)} RTA
{(0,0)(1,0)(1,2)(2,2)} TA
{(0,0)(1,0)(1,1)(1,2)(2,2)} RTA
{(0,0)(0,1)(1,2)(2,2)} TA
{(0,0)(0,1)(1,1)(1,2)(2,2)} RTA
{(0,0)(0,1)(1,0)(1,2)(2,2)} A
{(0,0)(0,1)(1,0)(1,1)(1,2)(2,2)} RTA
{(1,2)(2,1)(2,2)} S
{(1,1)(1,2)(2,1)(2,2)} S
